Date,Adj Close_JINDALSAW.NS,Close_JINDALSAW.NS,High_JINDALSAW.NS,Low_JINDALSAW.NS,Open_JINDALSAW.NS,Volume_JINDALSAW.NS,Date
2023-10-30,228.15469360351562,230.27499389648438,233.8249969482422,190.625,194.0,24682960,2023-10-30
2023-11-06,241.62948608398438,243.875,248.0,228.89999389648438,232.0,11707954,2023-11-06
2023-11-13,241.30747985839844,243.5500030517578,257.5,241.5749969482422,248.0,6308856,2023-11-13
2023-11-20,220.67422485351562,222.72500610351562,245.0500030517578,221.89999389648438,244.4250030517578,10342190,2023-11-20
2023-11-27,233.1829833984375,235.35000610351562,239.77499389648438,222.5500030517578,222.72500610351562,13209480,2023-11-27
2023-12-04,215.44778442382812,217.4499969482422,242.47500610351562,216.125,242.47500610351562,11497058,2023-12-04
2023-12-11,216.06703186035156,218.0749969482422,225.0,214.0,218.52499389648438,10719822,2023-12-11
2023-12-18,210.24612426757812,212.1999969482422,226.0,202.5,216.97500610351562,13115030,2023-12-18
2023-12-25,204.12799072265625,206.02499389648438,213.4499969482422,203.5,212.1999969482422,5346794,2023-12-25
2024-01-01,222.73011779785156,224.8000030517578,229.35000610351562,202.0,206.02499389648438,17329116,2024-01-01
2024-01-08,242.07533264160156,244.3249969482422,250.375,225.22500610351562,225.25,14364466,2024-01-08
2024-01-15,251.48785400390625,253.8249969482422,269.45001220703125,245.6999969482422,245.72500610351562,32661850,2024-01-15
2024-01-22,254.5345458984375,256.8999938964844,257.5,235.5,253.8249969482422,9094378,2024-01-22
2024-01-29,245.34495544433594,247.625,265.0,246.10000610351562,258.20001220703125,9775294,2024-01-29
2024-02-05,264.24432373046875,266.70001220703125,275.0,243.52499389648438,247.625,13216250,2024-02-05
2024-02-12,248.71363830566406,251.02499389648438,269.95001220703125,231.35000610351562,268.8500061035156,8937952,2024-02-12
2024-02-19,261.8912048339844,264.32501220703125,279.2250061035156,253.0,253.0,10953570,2024-02-19
2024-02-26,242.64503479003906,244.89999389648438,265.3999938964844,233.625,264.5,9366592,2024-02-26
2024-03-04,230.82984924316406,232.97500610351562,248.1999969482422,227.5,247.875,5353332,2024-03-04
2024-03-11,215.7202606201172,217.72500610351562,234.0,189.97500610351562,233.0,13568298,2024-03-11
2024-03-18,215.6459503173828,217.64999389648438,220.85000610351562,199.10000610351562,216.5,8389336,2024-03-18
2024-03-25,214.35792541503906,216.35000610351562,222.5,210.0,217.64999389648438,4486368,2024-03-25
2024-04-01,246.162353515625,248.4499969482422,257.0,219.4250030517578,219.60000610351562,10131214,2024-04-01
2024-04-08,253.91529846191406,256.2749938964844,259.125,240.52499389648438,251.0,6877866,2024-04-08
2024-04-15,238.01309204101562,240.22500610351562,254.47500610351562,232.3000030517578,245.0500030517578,7023820,2024-04-15
2024-04-22,277.1246337890625,279.70001220703125,282.0,240.0749969482422,242.4499969482422,15241758,2024-04-22
2024-04-29,284.852783203125,287.5,290.0,272.25,282.5,8317390,2024-04-29
2024-05-06,263.501220703125,265.95001220703125,299.0,259.6000061035156,290.3500061035156,27364208,2024-05-06
2024-05-13,273.80548095703125,276.3500061035156,281.0,257.70001220703125,266.4750061035156,10813300,2024-05-13
2024-05-20,268.7524108886719,271.25,282.5,265.45001220703125,275.07501220703125,6584086,2024-05-20
2024-05-27,266.4240417480469,268.8999938964844,285.0,266.5,273.9750061035156,10260758,2024-05-27
2024-06-03,275.0191955566406,277.57501220703125,284.0,236.47500610351562,278.5,15571640,2024-06-03
2024-06-10,277.79339599609375,280.375,291.4750061035156,273.5249938964844,280.8999938964844,8947886,2024-06-10
2024-06-17,283.1932373046875,285.82501220703125,290.375,271.875,280.375,6321184,2024-06-17
2024-06-24,269.42120361328125,271.92498779296875,295.5,266.0,285.82501220703125,8868984,2024-06-24
2024-07-01,273.45867919921875,276.0,282.25,268.9750061035156,271.92498779296875,6449902,2024-07-01
2024-07-08,279.3043518066406,281.8999938964844,291.625,272.5,276.0,10321054,2024-07-08
2024-07-15,271.6257019042969,274.1499938964844,292.3500061035156,264.54998779296875,283.5,12040570,2024-07-15
2024-07-22,286.7105407714844,289.375,291.29998779296875,263.42498779296875,272.5,8225796,2024-07-22
2024-07-29,322.2056884765625,325.20001220703125,332.0,290.5,290.5,38025474,2024-07-29
2024-08-05,323.5927734375,326.6000061035156,335.0,298.75,315.0,20227152,2024-08-05
2024-08-12,311.5298767089844,314.42498779296875,328.4750061035156,300.54998779296875,327.0,5795122,2024-08-12
2024-08-19,341.2288818359375,344.3999938964844,355.0,314.17498779296875,318.0,19354678,2024-08-19
2024-08-26,337.19140625,340.32501220703125,354.0,331.625,347.8500061035156,10952860,2024-08-26
2024-09-02,342.49212646484375,345.67498779296875,362.0,339.04998779296875,342.5,12254302,2024-09-02
2024-09-09,351.3349609375,354.6000061035156,359.2250061035156,331.82501220703125,345.95001220703125,9838794,2024-09-09
2024-09-16,351.8551330566406,355.125,366.04998779296875,344.5,356.82501220703125,6976106,2024-09-16
2024-09-23,369.3178405761719,372.75,379.8999938964844,351.25,357.0,11190318,2024-09-23
2024-09-30,359.73193359375,363.07501220703125,379.95001220703125,349.0,375.875,8817912,2024-09-30
2024-10-07,350.34417724609375,353.6000061035156,383.8500061035156,342.7250061035156,365.92498779296875,8770140,2024-10-07
2024-10-14,361.88690185546875,365.25,375.6000061035156,352.3999938964844,355.5,5433291,2024-10-14
2024-10-21,299.0706787109375,301.8500061035156,378.1499938964844,293.54998779296875,376.0,15026276,2024-10-21
2024-10-28,311.5546569824219,314.45001220703125,328.29998779296875,298.20001220703125,301.8500061035156,5440282,2024-10-28
2024-11-04,304.1732482910156,307.0,337.79998779296875,306.0,316.8999938964844,7596715,2024-11-04
2024-11-11,292.28375244140625,295.0,312.0,287.5,307.0,3505045,2024-11-11
2024-11-18,294.26531982421875,297.0,309.70001220703125,294.5,299.0,3507198,2024-11-18
2024-11-25,305.21356201171875,308.04998779296875,314.8999938964844,300.79998779296875,300.79998779296875,4664495,2024-11-25
2024-12-02,332.9062194824219,336.0,339.79998779296875,307.3999938964844,308.6000061035156,6613447,2024-12-02
2024-12-09,318.7874450683594,321.75,342.79998779296875,314.3999938964844,334.75,4214997,2024-12-09
2024-12-16,297.2872314453125,300.04998779296875,333.0,297.70001220703125,322.6499938964844,10659248,2024-12-16
2024-12-23,296.7423095703125,299.5,307.5,295.25,305.0,2584921,2024-12-23
2024-12-30,281.9794921875,284.6000061035156,301.95001220703125,278.3999938964844,299.8999938964844,6480616,2024-12-30
2025-01-06,253.44468688964844,255.8000030517578,288.6000061035156,247.3000030517578,286.0,5912910,2025-01-06
2025-01-13,255.8225860595703,258.20001220703125,262.5,237.5500030517578,253.8000030517578,6828198,2025-01-13
2025-01-20,243.63583374023438,245.89999389648438,266.5,244.5,260.0,4533065,2025-01-20
2025-01-27,239.17726135253906,241.39999389648438,257.0,217.64999389648438,244.9499969482422,11155850,2025-01-27
2025-02-03,252.05755615234375,254.39999389648438,269.45001220703125,229.10000610351562,235.8000030517578,9499510,2025-02-03
2025-02-10,230.30967712402344,232.4499969482422,252.10000610351562,227.25,247.5500030517578,7574962,2025-02-10
2025-02-17,254.1382293701172,256.5,260.6499938964844,224.60000610351562,228.0500030517578,6307720,2025-02-17
2025-02-24,244.18077087402344,246.4499969482422,256.25,236.5,254.60000610351562,6952996,2025-02-24
2025-03-03,264.78924560546875,267.25,276.3800048828125,230.41000366210938,246.66000366210938,11386259,2025-03-03
2025-03-10,258.21038818359375,260.6099853515625,272.8399963378906,250.0,266.6000061035156,6393653,2025-03-10
2025-03-17,272.4877014160156,275.0199890136719,286.3999938964844,251.0,262.5,7670654,2025-03-17
2025-03-24,267.60308837890625,270.0899963378906,283.5899963378906,262.3900146484375,279.5,6148400,2025-03-24
2025-03-31,258.5472717285156,260.95001220703125,277.95001220703125,256.1499938964844,270.0899963378906,3523211,2025-03-31
2025-04-07,244.82479858398438,247.10000610351562,254.0,225.10000610351562,229.10000610351562,5430377,2025-04-07
2025-04-14,265.5818786621094,268.04998779296875,271.70001220703125,247.10000610351562,247.10000610351562,2696917,2025-04-14
2025-04-21,254.38592529296875,256.75,273.8999938964844,255.0,269.04998779296875,5310385,2025-04-21
2025-04-28,247.69808959960938,250.0,267.5,246.0,256.75,3796462,2025-04-28
2025-05-05,199.822998046875,201.67999267578125,243.0,199.6199951171875,242.5,13026704,2025-05-05
