Date,Adj Close_HONDAPOWER.NS,Close_HONDAPOWER.NS,High_HONDAPOWER.NS,Low_HONDAPOWER.NS,Open_HONDAPOWER.NS,Volume_HONDAPOWER.NS,Date
2023-07-24,2130.56005859375,2166.800048828125,2177.25,2105.10009765625,2163.89990234375,22422,2023-07-24
2023-07-31,2150.717041015625,2187.300048828125,2243.0,2170.949951171875,2177.60009765625,40503,2023-07-31
2023-08-07,2314.906982421875,2336.75,2433.25,2145.64990234375,2198.199951171875,205838,2023-08-07
2023-08-14,2293.75634765625,2315.39990234375,2360.0,2252.050048828125,2335.14990234375,32547,2023-08-14
2023-08-21,2590.853271484375,2615.300048828125,2650.0,2315.0,2335.0,191075,2023-08-21
2023-08-28,2613.489501953125,2638.14990234375,2699.949951171875,2580.0,2640.0,90117,2023-08-28
2023-09-04,2842.875244140625,2869.699951171875,2944.0,2600.199951171875,2638.0,136993,2023-09-04
2023-09-11,2741.48193359375,2767.35009765625,2918.0,2640.0,2889.75,75785,2023-09-11
2023-09-18,2633.55029296875,2658.39990234375,2798.949951171875,2641.35009765625,2779.949951171875,19681,2023-09-18
2023-09-25,2784.228515625,2810.5,2910.0,2670.949951171875,2671.699951171875,45896,2023-09-25
2023-10-02,3033.52587890625,3062.14990234375,3136.14990234375,2810.5,2810.5,186805,2023-10-02
2023-10-09,2963.586181640625,2991.550048828125,3103.10009765625,2941.300048828125,3055.0,52772,2023-10-09
2023-10-16,2826.578857421875,2853.25,3125.25,2835.0,3006.550048828125,44801,2023-10-16
2023-10-23,2846.689208984375,2873.550048828125,2900.0,2582.550048828125,2855.14990234375,51118,2023-10-23
2023-10-30,2867.343994140625,2894.39990234375,3006.60009765625,2797.550048828125,2873.550048828125,38202,2023-10-30
2023-11-06,2730.634033203125,2756.39990234375,2930.89990234375,2670.0,2910.0,57436,2023-11-06
2023-11-13,2521.01220703125,2544.800048828125,2692.800048828125,2510.0,2669.0,66057,2023-11-13
2023-11-20,2506.945068359375,2530.60009765625,2580.050048828125,2484.199951171875,2557.550048828125,31248,2023-11-20
2023-11-27,2330.113525390625,2352.10009765625,2548.0,2300.0,2530.60009765625,95284,2023-11-27
2023-12-04,2409.01904296875,2431.75,2445.0,2322.60009765625,2388.10009765625,92915,2023-12-04
2023-12-11,2382.419921875,2404.89990234375,2496.0,2380.0,2496.0,73332,2023-12-11
2023-12-18,2349.034912109375,2371.199951171875,2448.300048828125,2313.199951171875,2427.0,36500,2023-12-18
2023-12-25,2368.2041015625,2390.550048828125,2409.949951171875,2360.0,2371.199951171875,17096,2023-12-25
2024-01-01,2387.373046875,2409.89990234375,2427.14990234375,2340.0,2370.0,37171,2024-01-01
2024-01-08,2318.027587890625,2339.89990234375,2441.25,2314.0,2419.949951171875,45664,2024-01-08
2024-01-15,2436.21240234375,2459.199951171875,2477.0,2345.89990234375,2345.89990234375,113772,2024-01-15
2024-01-22,2426.652587890625,2449.550048828125,2460.39990234375,2374.949951171875,2459.199951171875,33165,2024-01-22
2024-01-29,2384.648681640625,2407.14990234375,2494.0,2400.0,2469.89990234375,36700,2024-01-29
2024-02-05,2318.473388671875,2340.35009765625,2431.199951171875,2257.39990234375,2431.199951171875,41348,2024-02-05
2024-02-12,2215.19775390625,2236.10009765625,2359.949951171875,2199.0,2330.0,29242,2024-02-12
2024-02-19,2452.459228515625,2475.60009765625,2549.0,2218.5,2254.949951171875,115929,2024-02-19
2024-02-26,2502.487060546875,2526.10009765625,2592.0,2401.0,2585.0,126120,2024-02-26
2024-03-04,2412.634765625,2435.39990234375,2523.0,2380.0,2513.64990234375,36062,2024-03-04
2024-03-11,2186.96435546875,2207.60009765625,2418.949951171875,2192.5,2405.949951171875,38895,2024-03-11
2024-03-18,2196.870849609375,2217.60009765625,2245.199951171875,2156.0,2218.64990234375,28045,2024-03-18
2024-03-25,2192.1650390625,2212.85009765625,2258.949951171875,2166.0,2217.60009765625,26395,2024-03-25
2024-04-01,2434.478759765625,2457.449951171875,2498.5,2223.0,2223.0,41872,2024-04-01
