Date,Adj Close_MARINE.NS,Close_MARINE.NS,High_MARINE.NS,Low_MARINE.NS,Open_MARINE.NS,Volume_MARINE.NS,Date
2024-08-19,255.98023986816406,256.20001220703125,274.3999938964844,250.25,269.8999938964844,1575834,2024-08-19
2024-08-26,261.425537109375,261.6499938964844,273.8999938964844,245.0500030517578,261.95001220703125,1443588,2024-08-26
2024-09-02,253.0327606201172,253.25,264.0,248.0,261.6499938964844,800268,2024-09-02
2024-09-09,244.6399688720703,244.85000610351562,257.0,240.0,251.0,794760,2024-09-09
2024-09-16,227.50466918945312,227.6999969482422,248.39999389648438,217.64999389648438,245.85000610351562,1198144,2024-09-16
2024-09-23,221.75,221.75,238.0,218.0,231.4499969482422,708457,2024-09-23
2024-09-30,234.52000427246094,234.52000427246094,234.85000610351562,214.0,221.75,857909,2024-09-30
2024-10-07,233.61000061035156,233.61000061035156,245.5,213.10000610351562,237.0,1407198,2024-10-07
2024-10-14,233.08999633789062,233.08999633789062,243.0,220.5,233.0,990369,2024-10-14
2024-10-21,190.57000732421875,190.57000732421875,232.8699951171875,190.57000732421875,230.0,2449084,2024-10-21
2024-10-28,228.5399932861328,228.5399932861328,228.5399932861328,185.10000610351562,185.10000610351562,1149012,2024-10-28
2024-11-04,229.74000549316406,229.74000549316406,247.25999450683594,213.22999572753906,230.0,2598991,2024-11-04
2024-11-11,226.41000366210938,226.41000366210938,237.8300018310547,220.86000061035156,230.0,1852544,2024-11-11
2024-11-18,225.07000732421875,225.07000732421875,236.0,216.6199951171875,229.4499969482422,1187071,2024-11-18
2024-11-25,262.0899963378906,262.0899963378906,275.0,227.10000610351562,230.5,4322438,2024-11-25
2024-12-02,276.20001220703125,276.20001220703125,285.0,255.4499969482422,259.95001220703125,3816691,2024-12-02
2024-12-09,301.95001220703125,301.95001220703125,314.0,279.0,281.75,8060202,2024-12-09
2024-12-16,297.95001220703125,297.95001220703125,333.0,293.0,304.0,7147505,2024-12-16
2024-12-23,269.45001220703125,269.45001220703125,304.04998779296875,263.0,300.79998779296875,2711443,2024-12-23
2024-12-30,265.54998779296875,265.54998779296875,279.29998779296875,249.9499969482422,270.0,1308512,2024-12-30
2025-01-06,234.14999389648438,234.14999389648438,270.0,226.10000610351562,270.0,1081822,2025-01-06
2025-01-13,234.39999389648438,234.39999389648438,249.0,222.4499969482422,225.1999969482422,793405,2025-01-13
2025-01-20,211.60000610351562,211.60000610351562,241.9499969482422,210.0,237.9499969482422,677837,2025-01-20
2025-01-27,220.86000061035156,220.86000061035156,220.86000061035156,191.1999969482422,202.60000610351562,1203597,2025-01-27
2025-02-03,202.67999267578125,202.67999267578125,221.5500030517578,199.0,221.5500030517578,621656,2025-02-03
2025-02-10,167.7100067138672,167.7100067138672,205.39999389648438,167.7100067138672,202.67999267578125,912859,2025-02-10
2025-02-17,177.88999938964844,177.88999938964844,177.88999938964844,149.83999633789062,164.97000122070312,919032,2025-02-17
2025-02-24,147.7100067138672,147.7100067138672,178.60000610351562,147.7100067138672,171.99000549316406,609509,2025-02-24
2025-03-03,169.39999389648438,169.39999389648438,169.39999389648438,138.89999389648438,142.6999969482422,762188,2025-03-03
2025-03-10,161.42999267578125,161.42999267578125,177.8699951171875,156.3000030517578,174.39999389648438,955151,2025-03-10
2025-03-17,178.44000244140625,178.44000244140625,183.05999755859375,156.0,160.0,926273,2025-03-17
2025-03-24,156.99000549316406,156.99000549316406,183.89999389648438,155.10000610351562,181.4600067138672,1641482,2025-03-24
2025-03-31,172.61000061035156,172.61000061035156,184.0,156.99000549316406,156.99000549316406,1890778,2025-03-31
