Date,Adj Close_SAKAR.NS,Close_SAKAR.NS,High_SAKAR.NS,Low_SAKAR.NS,Open_SAKAR.NS,Volume_SAKAR.NS,Date
2024-07-29,332.6499938964844,332.6499938964844,339.8999938964844,321.3999938964844,330.6499938964844,85494,2024-07-29
2024-08-05,305.45001220703125,305.45001220703125,333.45001220703125,301.95001220703125,331.0,121209,2024-08-05
2024-08-12,315.5,315.5,329.6000061035156,302.70001220703125,302.70001220703125,67037,2024-08-12
2024-08-19,316.6000061035156,316.6000061035156,321.5,310.1499938964844,317.20001220703125,94032,2024-08-19
2024-08-26,305.3999938964844,305.3999938964844,320.3999938964844,304.45001220703125,316.95001220703125,106753,2024-08-26
2024-09-02,323.3500061035156,323.3500061035156,330.0,301.8999938964844,307.1499938964844,144068,2024-09-02
2024-09-09,339.29998779296875,339.29998779296875,354.1499938964844,316.79998779296875,325.1000061035156,240013,2024-09-09
2024-09-16,325.20001220703125,325.20001220703125,346.20001220703125,324.0,341.1000061035156,116285,2024-09-16
2024-09-23,317.0,317.0,335.6000061035156,312.20001220703125,326.0,66202,2024-09-23
2024-09-30,319.1499938964844,319.1499938964844,325.1000061035156,306.6000061035156,319.8500061035156,82112,2024-09-30
2024-10-07,311.29998779296875,311.29998779296875,328.0,308.29998779296875,321.6499938964844,66420,2024-10-07
2024-10-14,317.79998779296875,317.79998779296875,329.45001220703125,301.54998779296875,313.29998779296875,116008,2024-10-14
2024-10-21,302.1499938964844,302.1499938964844,344.0,299.5,312.45001220703125,327788,2024-10-21
2024-10-28,311.95001220703125,311.95001220703125,318.8999938964844,301.6000061035156,304.8500061035156,117627,2024-10-28
2024-11-04,312.6000061035156,312.6000061035156,324.8999938964844,304.3500061035156,312.0,116957,2024-11-04
2024-11-11,307.8999938964844,307.8999938964844,317.1499938964844,306.75,311.0,79235,2024-11-11
2024-11-18,286.25,286.25,303.6499938964844,279.8500061035156,280.0,219308,2024-11-18
2024-11-25,303.1499938964844,303.1499938964844,307.79998779296875,287.1000061035156,288.0,157944,2024-11-25
2024-12-02,307.8500061035156,307.8500061035156,326.1499938964844,302.95001220703125,304.3999938964844,132932,2024-12-02
2024-12-09,319.1499938964844,319.1499938964844,335.20001220703125,306.1000061035156,310.0,318773,2024-12-09
2024-12-16,303.54998779296875,303.54998779296875,323.8999938964844,300.8500061035156,312.20001220703125,156999,2024-12-16
2024-12-23,297.95001220703125,297.95001220703125,307.5,287.20001220703125,303.3999938964844,100648,2024-12-23
2024-12-30,303.1000061035156,303.1000061035156,316.0,293.79998779296875,305.0,134969,2024-12-30
2025-01-06,294.54998779296875,294.54998779296875,303.29998779296875,292.3500061035156,303.29998779296875,84039,2025-01-06
2025-01-13,291.29998779296875,291.29998779296875,296.04998779296875,288.45001220703125,293.70001220703125,52692,2025-01-13
2025-01-20,301.5,301.5,312.04998779296875,286.95001220703125,287.0,64578,2025-01-20
2025-01-27,287.3999938964844,287.3999938964844,301.5,267.95001220703125,301.5,132737,2025-01-27
2025-02-03,274.79998779296875,274.79998779296875,317.6000061035156,269.0,290.8500061035156,305984,2025-02-03
2025-02-10,234.0,234.0,279.8500061035156,231.60000610351562,279.8500061035156,223886,2025-02-10
2025-02-17,236.35000610351562,236.35000610351562,239.4499969482422,213.1999969482422,233.14999389648438,119965,2025-02-17
2025-02-24,241.39999389648438,241.39999389648438,261.8500061035156,224.35000610351562,235.89999389648438,143526,2025-02-24
2025-03-03,266.6000061035156,266.6000061035156,282.8599853515625,226.41000366210938,243.39999389648438,147359,2025-03-03
2025-03-10,238.75999450683594,238.75999450683594,269.0,235.36000061035156,269.0,112125,2025-03-10
2025-03-17,240.2100067138672,240.2100067138672,249.47999572753906,231.0,242.0,154470,2025-03-17
2025-03-24,211.72000122070312,211.72000122070312,243.58999633789062,210.10000610351562,239.6999969482422,219577,2025-03-24
2025-03-31,242.24000549316406,242.24000549316406,256.010009765625,211.72000122070312,211.72000122070312,202984,2025-03-31
2025-04-07,258.2900085449219,258.2900085449219,261.3500061035156,220.41000366210938,237.4499969482422,90450,2025-04-07
2025-04-14,289.3599853515625,289.3599853515625,309.79998779296875,255.10000610351562,258.2900085449219,219513,2025-04-14
2025-04-21,291.0299987792969,291.0299987792969,326.0,284.0,290.3999938964844,273955,2025-04-21
2025-04-28,280.5,280.5,298.739990234375,265.3500061035156,291.0299987792969,46625,2025-04-28
2025-05-05,290.75,290.75,308.1499938964844,264.25,277.70001220703125,94216,2025-05-05
2025-05-12,314.8500061035156,314.8500061035156,335.0,300.0,314.45001220703125,263457,2025-05-12
2025-05-19,313.8999938964844,313.8999938964844,320.0,306.0,314.8500061035156,88026,2025-05-19
2025-05-26,315.95001220703125,315.95001220703125,320.0,306.1000061035156,309.0,77327,2025-05-26
2025-06-02,318.29998779296875,318.29998779296875,330.1000061035156,311.5,316.0,98481,2025-06-02
2025-06-09,313.29998779296875,313.29998779296875,327.8999938964844,306.3500061035156,319.8500061035156,88155,2025-06-09
2025-06-16,349.25,349.25,380.79998779296875,308.3500061035156,311.79998779296875,703907,2025-06-16
2025-06-23,362.25,362.25,370.1000061035156,339.04998779296875,347.0,251968,2025-06-23
2025-06-30,348.0,348.0,370.0,335.0,369.0,72055,2025-06-30
2025-07-07,337.1499938964844,337.1499938964844,361.6000061035156,335.25,352.0,95012,2025-07-07
2025-07-14,350.6000061035156,350.6000061035156,352.0,336.0,339.0,33422,2025-07-14
