Date,Adj Close_PALASHSECU.NS,Close_PALASHSECU.NS,High_PALASHSECU.NS,Low_PALASHSECU.NS,Open_PALASHSECU.NS,Volume_PALASHSECU.NS,Date
2025-02-10,125.77999877929688,125.77999877929688,149.49000549316406,122.0,147.99000549316406,33347,2025-02-10
2025-02-17,125.83999633789062,125.83999633789062,130.89999389648438,118.05999755859375,129.27999877929688,32493,2025-02-17
2025-02-24,118.0199966430664,118.0199966430664,130.6999969482422,117.0,125.69999694824219,9675,2025-02-24
2025-03-03,124.86000061035156,124.86000061035156,131.0,107.20999908447266,112.55000305175781,34641,2025-03-03
2025-03-10,121.37000274658203,121.37000274658203,130.0500030517578,119.69999694824219,128.00999450683594,23048,2025-03-10
2025-03-17,129.1999969482422,129.1999969482422,130.0,116.94999694824219,124.38999938964844,23626,2025-03-17
2025-03-24,119.16000366210938,119.16000366210938,138.6999969482422,118.05000305175781,128.00999450683594,199883,2025-03-24
2025-03-31,122.97000122070312,122.97000122070312,130.92999267578125,116.25,119.16000366210938,19289,2025-03-31
2025-04-07,118.66999816894531,118.66999816894531,124.4800033569336,114.5,120.0,11746,2025-04-07
2025-04-14,124.94000244140625,124.94000244140625,126.2699966430664,120.25,120.25,4985,2025-04-14
2025-04-21,124.12000274658203,124.12000274658203,134.8000030517578,122.41000366210938,127.9000015258789,59046,2025-04-21
2025-04-28,121.0,121.0,129.38999938964844,118.95999908447266,122.87999725341797,33711,2025-04-28
2025-05-05,116.37000274658203,116.37000274658203,125.18000030517578,114.5999984741211,120.19999694824219,35962,2025-05-05
2025-05-12,123.12000274658203,123.12000274658203,132.1999969482422,121.01000213623047,126.87000274658203,105352,2025-05-12
2025-05-19,123.08999633789062,123.08999633789062,128.82000732421875,121.0,123.12999725341797,37419,2025-05-19
2025-05-26,123.33000183105469,123.33000183105469,125.86000061035156,120.69999694824219,120.69999694824219,20579,2025-05-26
2025-06-02,124.36000061035156,124.36000061035156,130.2899932861328,121.2300033569336,121.2300033569336,22523,2025-06-02
2025-06-09,130.32000732421875,130.32000732421875,142.0,123.5999984741211,128.5500030517578,81809,2025-06-09
2025-06-16,124.55000305175781,124.55000305175781,139.75,124.05000305175781,128.50999450683594,146588,2025-06-16
2025-06-23,126.7699966430664,126.7699966430664,134.6999969482422,123.5,124.55000305175781,37826,2025-06-23
2025-06-30,126.70999908447266,126.70999908447266,129.83999633789062,125.05999755859375,128.4600067138672,17888,2025-06-30
