Date,Adj Close_WSI.NS,Close_WSI.NS,High_WSI.NS,Low_WSI.NS,Open_WSI.NS,Volume_WSI.NS,Date
2024-07-29,165.58999633789062,165.58999633789062,174.88999938964844,163.22999572753906,170.9499969482422,982739,2024-07-29
2024-08-05,160.3800048828125,160.3800048828125,162.0399932861328,152.97999572753906,156.14999389648438,949403,2024-08-05
2024-08-12,151.35000610351562,151.35000610351562,161.8800048828125,147.58999633789062,160.10000610351562,751466,2024-08-12
2024-08-19,156.94000244140625,156.94000244140625,162.99000549316406,148.13999938964844,156.0,955332,2024-08-19
2024-08-26,156.7899932861328,156.7899932861328,164.0,151.35000610351562,158.39999389648438,936674,2024-08-26
2024-09-02,158.00999450683594,158.00999450683594,168.6999969482422,154.2899932861328,157.88999938964844,1510075,2024-09-02
2024-09-09,157.0399932861328,157.0399932861328,164.0,155.27999877929688,159.5,633507,2024-09-09
2024-09-16,152.83999633789062,152.83999633789062,159.8000030517578,145.39999389648438,159.8000030517578,599271,2024-09-16
2024-09-23,147.6999969482422,147.6999969482422,156.8000030517578,146.5,156.75,539294,2024-09-23
2024-09-30,145.14999389648438,145.14999389648438,149.89999389648438,143.0,148.8000030517578,273012,2024-09-30
2024-10-07,141.92999267578125,141.92999267578125,151.3000030517578,135.60000610351562,148.0,420280,2024-10-07
2024-10-14,138.85000610351562,138.85000610351562,148.57000732421875,136.77999877929688,141.92999267578125,425325,2024-10-14
2024-10-21,123.37999725341797,123.37999725341797,141.5500030517578,122.6500015258789,139.60000610351562,402983,2024-10-21
2024-10-28,133.38999938964844,133.38999938964844,134.1999969482422,120.87999725341797,126.19999694824219,328409,2024-10-28
2024-11-04,134.57000732421875,134.57000732421875,143.35000610351562,126.94000244140625,135.0,449696,2024-11-04
2024-11-11,109.98999786376953,109.98999786376953,136.57000732421875,105.81999969482422,128.10000610351562,752403,2024-11-11
2024-11-18,111.97000122070312,111.97000122070312,117.5,106.08000183105469,109.0,375209,2024-11-18
2024-11-25,129.1699981689453,129.1699981689453,139.60000610351562,109.41000366210938,113.6500015258789,956265,2024-11-25
2024-12-02,125.52999877929688,125.52999877929688,136.60000610351562,124.1500015258789,129.1699981689453,415286,2024-12-02
2024-12-09,124.77999877929688,124.77999877929688,129.85000610351562,118.5199966430664,124.30000305175781,552626,2024-12-09
2024-12-16,118.72000122070312,118.72000122070312,127.80000305175781,117.16000366210938,124.80000305175781,366368,2024-12-16
2024-12-23,114.47000122070312,114.47000122070312,121.48999786376953,110.6500015258789,120.5,236567,2024-12-23
2024-12-30,114.30000305175781,114.30000305175781,123.01000213623047,112.5999984741211,114.01000213623047,513025,2024-12-30
2025-01-06,104.58999633789062,104.58999633789062,116.5999984741211,102.76000213623047,116.5999984741211,438197,2025-01-06
2025-01-13,108.33999633789062,108.33999633789062,113.08999633789062,102.62000274658203,103.5999984741211,411241,2025-01-13
2025-01-20,104.77999877929688,104.77999877929688,110.0,101.80000305175781,107.70999908447266,233152,2025-01-20
2025-01-27,99.86000061035156,99.86000061035156,105.4000015258789,91.19999694824219,103.19999694824219,446724,2025-01-27
2025-02-03,98.19999694824219,98.19999694824219,102.25,96.91000366210938,97.6500015258789,243992,2025-02-03
2025-02-10,83.75,83.75,98.51000213623047,75.0,98.0,708511,2025-02-10
2025-02-17,81.02999877929688,81.02999877929688,85.3499984741211,67.0,78.0,1297333,2025-02-17
2025-02-24,75.83000183105469,75.83000183105469,82.11000061035156,75.0999984741211,78.0999984741211,231118,2025-02-24
2025-03-03,80.44000244140625,80.44000244140625,80.44000244140625,69.25,78.9000015258789,402150,2025-03-03
2025-03-10,75.45999908447266,75.45999908447266,84.45999908447266,75.1500015258789,84.45999908447266,417387,2025-03-10
2025-03-17,79.29000091552734,79.29000091552734,80.58999633789062,71.5,76.4000015258789,409217,2025-03-17
